org,id,login,name,type,site_admin,created_at,updated_at
cbs-news-data,49451910,cmhac,Chris Hacker,User,False,2019-04-09 17:04:14+00:00,2025-07-22 00:03:56+00:00
censusreporter,46313,JoeGermuska,Joe Germuska,User,False,2009-01-13 18:28:43+00:00,2025-07-04 11:21:56+00:00
censusreporter,7915735,Joonpark13,Joon Park,User,False,2014-06-17 18:07:36+00:00,2025-07-24 19:48:08+00:00
censusreporter,3248981,SaraSchnadt,,User,False,2013-01-12 00:48:50+00:00,2017-05-12 21:31:15+00:00
censusreporter,261584,iandees,Ian Dees,User,False,2010-05-01 22:20:34+00:00,2025-06-11 13:35:47+00:00
censusreporter,312347,jkeefe,John Keefe,User,False,2010-06-23 03:13:48+00:00,2025-07-23 20:53:12+00:00
censusreporter,56477,ryanpitts,Ryan Pitts,User,False,2009-02-21 01:20:52+00:00,2025-04-04 01:17:37+00:00
censusreporter,11623486,tuchandra,Tushar Chandra,User,False,2015-03-24 02:36:22+00:00,2025-05-08 22:44:30+00:00
chalkbeat,5066168,jonsisk,Jonathan Sisk,User,False,2013-07-22 15:42:18+00:00,2025-05-19 21:04:05+00:00
chalkbeat,881329,thomaswilburn,Thomas Wilburn,User,False,2011-06-28 12:45:14+00:00,2025-07-16 10:11:43+00:00
city-bureau,21316094,lsukaristone,Sukari Stone,User,False,2016-08-29 17:22:26+00:00,2025-07-26 00:50:01+00:00
city-bureau,4379424,rajivsinclair,Rajiv Sinclair,User,False,2013-05-08 17:29:09+00:00,2025-07-30 23:54:32+00:00
civica-digital,542209,juanpabloe,Juan Pablo Escobar L,User,False,2010-12-31 00:53:52+00:00,2025-07-31 22:28:50+00:00
civio,7012771,carmen-tm,Carmen Torrecillas Molina,User,False,2014-03-20 15:40:11+00:00,2025-05-29 15:14:17+00:00
civio,17741,dcabo,David Cabo,User,False,2008-07-21 22:41:38+00:00,2025-06-19 10:46:29+00:00
condenast,210393605,aj-stanley,StanlyMathai::,User,False,2025-05-05 15:12:07+00:00,2025-07-26 17:15:27+00:00
coralproject,10014755,losowsky,,User,False,2014-12-01 00:29:15+00:00,2025-06-24 00:01:51+00:00
correctiv,8058332,simonwoerpel,Simon Wörpel,User,False,2014-07-03 12:36:40+00:00,2025-07-30 09:21:18+00:00
courierjournal,5685892,jwhazel,Jesse Hazel,User,False,2013-10-14 20:20:52+00:00,2025-06-03 05:15:29+00:00
cunyjschool,717911,KirstiItameri,,User,False,2011-04-08 17:12:25+00:00,2020-08-07 16:50:54+00:00
dallasmorningnews,3731605,tjk911,Jun-Kai Teoh,User,False,2013-02-28 21:35:07+00:00,2025-07-28 14:12:52+00:00
datadesk,8962594,cjbt,Cecil J. Tantay,User,False,2014-09-29 18:20:19+00:00,2025-07-31 15:00:14+00:00
datamade,919583,derekeder,Derek Eder,User,False,2011-07-16 14:15:04+00:00,2024-08-21 22:01:18+00:00
datamade,12176173,hancush,hannah cushman garland,User,False,2015-04-29 20:19:43+00:00,2025-05-16 12:38:40+00:00
datawrapper,22416639,EX0l0N,Exolon Voncor,User,False,2016-09-24 16:08:50+00:00,2025-07-24 11:28:54+00:00
datawrapper,6685200,SarcevicAntonio,Antonio Sarcevic,User,False,2014-02-14 19:34:59+00:00,2025-06-22 09:22:22+00:00
datawrapper,104082367,alexanderkaessner,Alexander K.,User,False,2022-04-20 14:07:15+00:00,2025-02-11 14:38:19+00:00
datawrapper,6981408,davidkokkelink,David Kokkelink,User,False,2014-03-17 23:58:52+00:00,2025-08-01 19:09:47+00:00
datawrapper,617518,gka,Gregor Aisch,User,False,2011-02-14 15:48:07+00:00,2025-07-31 22:39:31+00:00
datawrapper,6787862,ilokhov,Ivan Lokhov,User,False,2014-02-25 23:00:55+00:00,2025-07-20 14:53:04+00:00
datawrapper,9379282,lisacharlotterost,Lisa Charlotte Muth,User,False,2014-10-24 09:32:15+00:00,2025-05-07 10:18:48+00:00
denverpost,6498109,githamm,Kevin Hamm,User,False,2014-01-25 06:11:09+00:00,2024-04-07 23:01:40+00:00
derspiegel,3787451,KurtJansson,Kurt Jansson,User,False,2013-03-06 13:20:51+00:00,2023-12-05 14:47:53+00:00
derspiegel,22907799,mrestorff,,User,False,2016-10-18 08:44:24+00:00,2025-07-30 11:18:34+00:00
derspiegel,572515,salevajo,Stephan Heffner,User,False,2011-01-19 12:37:47+00:00,2025-06-22 09:51:30+00:00
deseretnews,40127530,etterTimothy,Timothy Etter,User,False,2018-06-09 20:33:00+00:00,2025-07-07 16:57:51+00:00
deseretnews,3336936,faazshift,Brendan Warkentin,User,False,2013-01-22 08:28:57+00:00,2024-12-20 00:41:53+00:00
documentcloud,150791,amandabee,Amanda Hickman,User,False,2009-11-09 14:23:39+00:00,2025-05-14 15:54:56+00:00
documentcloud,273891,anthonydb,Anthony DeBarros,User,False,2010-05-12 00:17:24+00:00,2025-02-27 13:52:34+00:00
documentcloud,5274,caolan,Caolan McMahon,User,False,2008-04-05 11:30:29+00:00,2025-07-20 05:24:38+00:00
documentcloud,12632,fogus,Fogus,User,False,2008-06-04 23:59:25+00:00,2025-07-18 01:48:09+00:00
documentcloud,3397,jacqui,Jacqui Lough,User,False,2008-03-18 23:34:36+00:00,2025-08-01 01:35:42+00:00
documentcloud,4732,jashkenas,Jeremy Ashkenas,User,False,2008-04-03 21:10:45+00:00,2025-05-15 18:24:19+00:00
documentcloud,192,knowtheory,Ted Han,User,False,2008-02-12 20:45:29+00:00,2025-08-03 01:46:43+00:00
documentcloud,3475472,megawac,Graeme Yeates,User,False,2013-02-04 21:02:55+00:00,2025-05-18 18:13:10+00:00
documentcloud,218840,michaelficarra,Michael Ficarra,User,False,2010-03-09 05:08:47+00:00,2025-07-07 14:21:43+00:00
documentcloud,79566,nathanstitt,Nathan Stitt,User,False,2009-04-30 13:49:25+00:00,2025-07-12 11:20:30+00:00
documentcloud,2039,pilhofer,Aron Pilhofer,User,False,2008-03-03 17:10:17+00:00,2016-02-26 22:34:45+00:00
documentcloud,44229,samuelclay,Samuel Clay,User,False,2009-01-05 04:46:08+00:00,2025-06-25 01:07:07+00:00
documentcloud,181635,tbranyen,Tim Branyen,User,False,2010-01-13 18:55:44+00:00,2025-06-26 22:31:06+00:00
documentcloud,154748,tgriesser,Tim Griesser,User,False,2009-11-18 09:21:13+00:00,2025-08-01 05:23:21+00:00
dowjones,2179966,kuberkaul,Kuber Kaul,User,False,2012-08-19 21:07:59+00:00,2025-06-30 17:49:52+00:00
dowjones,5834637,mpaw,Marcin Pawelek,User,False,2013-11-01 22:00:07+00:00,2024-12-30 04:10:06+00:00
dukechronicle,14322911,Lucytheanimefan,Lucy Zhang,User,False,2015-09-17 01:34:15+00:00,2023-03-02 03:24:58+00:00
dukechronicle,350938,deanchen,Dean Chen,User,False,2010-08-01 18:04:31+00:00,2025-02-03 11:01:47+00:00
dukechronicle,150594,galonsky,Alex Galonsky,User,False,2009-11-08 23:50:27+00:00,2025-05-27 13:05:43+00:00
dukechronicle,1137465,grivkees,Glenn Rivkees,User,False,2011-10-19 06:07:19+00:00,2025-06-14 05:26:32+00:00
dukechronicle,881253,jimpo,Jim Posen,User,False,2011-06-28 12:05:45+00:00,2025-07-13 17:57:04+00:00
dukechronicle,234589,jodoglevy,Joe Levy,User,False,2010-04-01 01:10:02+00:00,2025-03-18 21:02:53+00:00
dukechronicle,4461795,rogerzou,Roger Zou,User,False,2013-05-18 01:55:49+00:00,2025-07-13 19:43:57+00:00
dukechronicle,2541320,rtoussaint,Ryan Toussaint,User,False,2012-10-12 01:50:38+00:00,2019-06-20 03:44:26+00:00
dukechronicle,1269129,themichaellai,Michael Lai,User,False,2011-12-17 03:08:44+00:00,2025-06-23 18:13:41+00:00
economistdigitalsolutions,50681058,a-w-l,Adam Lewis,User,False,2019-05-15 21:32:04+00:00,2024-03-31 13:11:10+00:00
economistdigitalsolutions,167085936,cristianpetre-teg,Cristian Petre,User,False,2024-04-15 11:05:40+00:00,2025-07-29 14:47:49+00:00
economistdigitalsolutions,5430873,lmcjt37,Luke Taylor,User,False,2013-09-10 21:42:17+00:00,2025-07-30 13:29:15+00:00
financial-times,125273,MattieTK,Matt ‘TK’ Taylor,User,False,2009-09-10 09:26:48+00:00,2025-07-16 23:23:06+00:00
financial-times,1314810,MightyPixel,Ognyan Angelov,User,False,2012-01-09 10:11:57+00:00,2025-07-03 10:41:51+00:00
financial-times,185041,aendra-rininsland,Ændra Rininsland,User,False,2010-01-19 00:44:42+00:00,2025-04-28 11:29:42+00:00
