org,repo_name,full_name,id,login,user_name,contributions
BBC-Data-Unit,Toxic_land,BBC-Data-Unit/Toxic_land,61186777,paullynchmedia,,7
BBC-Data-Unit,UK_jobs_growth,BBC-Data-Unit/UK_jobs_growth,32837535,Alex-Homer,,1
BBC-Data-Unit,Uni-mental-health,BBC-Data-Unit/Uni-mental-health,32837535,Alex-Homer,,2
BBC-Data-Unit,Universal-credit,BBC-Data-Unit/Universal-credit,32837535,Alex-Homer,,6
BBC-Data-Unit,Universal-credit,BBC-Data-Unit/Universal-credit,633839,paulbradshaw,Paul Bradshaw,6
BBC-Data-Unit,academytransparency,BBC-Data-Unit/academytransparency,633839,paulbradshaw,Paul Bradshaw,7
BBC-Data-Unit,adoptions-fall,BBC-Data-Unit/adoptions-fall,633839,paulbradshaw,Paul Bradshaw,4
BBC-Data-Unit,airport-crime,BBC-Data-Unit/airport-crime,633839,paulbradshaw,Paul Bradshaw,9
BBC-Data-Unit,airport-delays,BBC-Data-Unit/airport-delays,633839,paulbradshaw,Paul Bradshaw,6
BBC-Data-Unit,art-uk,BBC-Data-Unit/art-uk,633839,paulbradshaw,Paul Bradshaw,9
BBC-Data-Unit,autism-waits,BBC-Data-Unit/autism-waits,633839,paulbradshaw,Paul Bradshaw,3
BBC-Data-Unit,baby-names-2017,BBC-Data-Unit/baby-names-2017,633839,paulbradshaw,Paul Bradshaw,11
BBC-Data-Unit,baby-names-2018,BBC-Data-Unit/baby-names-2018,633839,paulbradshaw,Paul Bradshaw,11
BBC-Data-Unit,baby-names-2019,BBC-Data-Unit/baby-names-2019,633839,paulbradshaw,Paul Bradshaw,4
BBC-Data-Unit,baby-names-midlands,BBC-Data-Unit/baby-names-midlands,16936426,BBCdataunit,BBC Data Unit,3
BBC-Data-Unit,benefits-appeals,BBC-Data-Unit/benefits-appeals,32837535,Alex-Homer,,29
BBC-Data-Unit,benefits_tribunals,BBC-Data-Unit/benefits_tribunals,32837535,Alex-Homer,,16
BBC-Data-Unit,black-friday,BBC-Data-Unit/black-friday,633839,paulbradshaw,Paul Bradshaw,5
BBC-Data-Unit,blue-badges,BBC-Data-Unit/blue-badges,32837535,Alex-Homer,,22
BBC-Data-Unit,blue-plaques,BBC-Data-Unit/blue-plaques,16936426,BBCdataunit,BBC Data Unit,3
BBC-Data-Unit,blue-plaques,BBC-Data-Unit/blue-plaques,633839,paulbradshaw,Paul Bradshaw,2
BBC-Data-Unit,brexit-eu-nationals,BBC-Data-Unit/brexit-eu-nationals,633839,paulbradshaw,Paul Bradshaw,4
BBC-Data-Unit,bulky-waste,BBC-Data-Unit/bulky-waste,32837535,Alex-Homer,,1
BBC-Data-Unit,bus-cuts,BBC-Data-Unit/bus-cuts,633839,paulbradshaw,Paul Bradshaw,4
BBC-Data-Unit,bus-funding,BBC-Data-Unit/bus-funding,633839,paulbradshaw,Paul Bradshaw,5
BBC-Data-Unit,bus-journeys-2018,BBC-Data-Unit/bus-journeys-2018,633839,paulbradshaw,Paul Bradshaw,7
BBC-Data-Unit,bus-lane-fines,BBC-Data-Unit/bus-lane-fines,633839,paulbradshaw,Paul Bradshaw,12
BBC-Data-Unit,bus-route-cuts,BBC-Data-Unit/bus-route-cuts,633839,paulbradshaw,Paul Bradshaw,3
BBC-Data-Unit,bus-use,BBC-Data-Unit/bus-use,633839,paulbradshaw,Paul Bradshaw,8
BBC-Data-Unit,buses-lost,BBC-Data-Unit/buses-lost,32837535,Alex-Homer,,15
BBC-Data-Unit,buses-lost,BBC-Data-Unit/buses-lost,633839,paulbradshaw,Paul Bradshaw,3
