Organization,Type,Github
Sahan Journal,Newsroom,https://github.com/sahanjournal
Salt Lake Tribune,Newsroom,https://github.com/sltrib
Salud Con Lupa,Newsroom,https://github.com/saludconlupa
San Antonio Express-News,Newsroom,https://github.com/sa-express-news
San Francisco Chronicle,Newsroom,https://github.com/sfchronicle
Seattle Times,Newsroom,https://github.com/seattletimes
Slate,Newsroom,https://github.com/slategroup
SourceFabric,News Industry,https://github.com/sourcefabric
South Florida Sun Sentinel,Newsroom,https://github.com/SunSentinel
South Side Weekly,Newsroom,https://github.com/southsideweekly
Spirited Media,News Industry,https://github.com/spiritedmedia
Spokane Spokesman-Review,Newsroom,https://github.com/SpokesmanReview
Spotlight PA,Newsroom,https://github.com/spotlightpa
SRF Data,Newsroom,https://github.com/srfdata
St. Louis Post-Dispatch,Newsroom,https://github.com/PostDispatchInteractive
St. Louis Public Radio,Newsroom,https://github.com/stlpublicradio
SunlightLabs,News Industry,https://github.com/sunlightlabs
TagesWoche,Newsroom,https://github.com/tageswoche
Tampa Bay Times,Newsroom,https://github.com/tbtimes
Tarbell Project,News Industry,https://github.com/tarbell-project
Telegraph,Newsroom,https://github.com/telegraph
Telemundo,Newsroom,https://github.com/telemundo
Texas Tribune,Newsroom,https://github.com/texastribune
Texty.org.ua,Newsroom,https://github.com/texty
The City,Newsroom,https://github.com/thecityny
The Economist,Newsroom,https://github.com/theeconomist
The Economist Group,Newsroom,https://github.com/economistdigitalsolutions
Time Magazine,Newsroom,https://github.com/TimeMagazine
Time Magazine Labs,Newsroom,https://github.com/TimeMagazineLabs
Times & Sunday Times,Newsroom,https://github.com/times
Times & Sunday Times Digital,Newsroom,https://github.com/times-machine
Toronto Globe and Mail,Newsroom,https://github.com/globeandmail
Trace,Newsroom,https://github.com/TeamTrace
TrendCT,Newsroom,https://github.com/trendct
Tronc,Newsroom,https://github.com/tribune
Trust Project,News Industry,https://github.com/TheTrustProject
TV 2 (Norway),Newsroom,https://github.com/tv2norge
USA Facts,News Industry,https://github.com/USAFacts
USA Today,Newsroom,https://github.com/usatoday
USA Today Sports,Newsroom,https://github.com/usatoday-smb
Vermont Public Radio,Newsroom,https://github.com/vprnet
VG (Norway),Newsroom,https://github.com/vgno
Vice Media,Newsroom,https://github.com/VICEMedia
Voice of America,Newsroom,https://github.com/voanews
Vox Media,Newsroom,https://github.com/voxmedia
Wall Street Journal,Newsroom,https://github.com/WSJ
Washington City Paper,Newsroom,https://github.com/washingtoncitypaper
Washington Post,Newsroom,https://github.com/washingtonpost
Washington Post (Archived Repos),Newsroom,https://github.com/washingtonpost-archive
Washington Post Investigations,Newsroom,https://github.com/wpinvestigative
Washington Post SaaS (Arc Publishing),Newsroom,https://github.com/wapopartners
Washington Times,Newsroom,https://github.com/washingtontimes
WBEZ Chicago Public Media,Newsroom,https://github.com/wbez
WBUR,Newsroom,https://github.com/wbur
WBUR Learning Lab,Newsroom,https://github.com/LearningLab
WGBH Boston,Newsroom,https://github.com/WGBH
WireService,News Industry,https://github.com/wireservice
WNYC,Newsroom,https://github.com/wnyc
WNYC DataNews,Newsroom,https://github.com/datanews
WRAL Data Desk,Newsroom,https://github.com/wraldata
Yahoo! Paranoids,News Industry,https://github.com/theparanoids
YLE (Finnish National Broadcaster),Newsroom,https://github.com/Yleisradio
Youth Radio,Newsroom,https://github.com/youthradio
Zeit Online (Germany),Newsroom,https://github.com/ZeitOnline
